trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Colourcodes,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,StimulusPos,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt
0,10,10,40,1,,5f91976a948f570115a30933,62bbfa2fd1527db7dc8c9419,2022-06-29_09h09.40.907,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,
0,11,11,60,1,,5f91976a948f570115a30933,62bbfa2fd1527db7dc8c9419,2022-06-29_09h09.40.907,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,
0,12,12,9,1,,5f91976a948f570115a30933,62bbfa2fd1527db7dc8c9419,2022-06-29_09h09.40.907,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,
0,13,13,83,1,,5f91976a948f570115a30933,62bbfa2fd1527db7dc8c9419,2022-06-29_09h09.40.907,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,
0,14,14,50,1,,5f91976a948f570115a30933,62bbfa2fd1527db7dc8c9419,2022-06-29_09h09.40.907,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,
0,15,15,42,1,,5f91976a948f570115a30933,62bbfa2fd1527db7dc8c9419,2022-06-29_09h09.40.907,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,
0,16,16,4,1,,5f91976a948f570115a30933,62bbfa2fd1527db7dc8c9419,2022-06-29_09h09.40.907,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,
0,17,17,52,1,,5f91976a948f570115a30933,62bbfa2fd1527db7dc8c9419,2022-06-29_09h09.40.907,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,
0,18,18,1,1,,5f91976a948f570115a30933,62bbfa2fd1527db7dc8c9419,2022-06-29_09h09.40.907,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,
0,19,19,35,1,,5f91976a948f570115a30933,62bbfa2fd1527db7dc8c9419,2022-06-29_09h09.40.907,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,
0,20,20,77,1,,5f91976a948f570115a30933,62bbfa2fd1527db7dc8c9419,2022-06-29_09h09.40.907,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,
0,21,21,17,1,,5f91976a948f570115a30933,62bbfa2fd1527db7dc8c9419,2022-06-29_09h09.40.907,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,
0,22,22,71,1,,5f91976a948f570115a30933,62bbfa2fd1527db7dc8c9419,2022-06-29_09h09.40.907,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,
0,23,23,56,1,,5f91976a948f570115a30933,62bbfa2fd1527db7dc8c9419,2022-06-29_09h09.40.907,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,
