trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Colourcodes,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,StimulusPos
0,31,31,92,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,32,32,5,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,33,33,45,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,34,34,46,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,35,35,42,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,36,36,66,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,37,37,70,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,38,38,44,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,39,39,31,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,40,40,17,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,41,41,58,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,42,42,53,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,43,43,38,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,44,44,11,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,45,45,32,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,46,46,3,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,47,47,25,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,48,48,88,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,49,49,48,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,50,50,67,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,51,51,87,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,52,52,21,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,53,53,39,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
