trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Colourcodes,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,StimulusPos,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Circle1_col,Ecc,Circle2_col,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran
0,25,25,74,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,26,84,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,27,27,49,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,28,28,68,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,29,91,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,30,30,88,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,31,80,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,32,32,51,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,33,33,75,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34,34,42,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,35,35,73,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,36,36,0,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,37,35,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,38,71,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,39,39,13,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,40,40,18,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,41,41,50,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,42,42,5,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,43,1,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
