trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Colourcodes,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,StimulusPos,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Circle1_col,Ecc,Circle2_col,similarity,response_time,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,duringprac.order
0,10,10,46,1,,55c7a30dfdf99b546a55b6be,62c539e8d2b6fa4cee194348,2022-07-06_08h30.12.190,Colour_Asymmetry_Pilot,2022.1.3,Win32,145.7938475,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,11,11,81,1,,55c7a30dfdf99b546a55b6be,62c539e8d2b6fa4cee194348,2022-07-06_08h30.12.190,Colour_Asymmetry_Pilot,2022.1.3,Win32,145.7938475,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12,12,37,1,,55c7a30dfdf99b546a55b6be,62c539e8d2b6fa4cee194348,2022-07-06_08h30.12.190,Colour_Asymmetry_Pilot,2022.1.3,Win32,145.7938475,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,13,92,1,,55c7a30dfdf99b546a55b6be,62c539e8d2b6fa4cee194348,2022-07-06_08h30.12.190,Colour_Asymmetry_Pilot,2022.1.3,Win32,145.7938475,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,14,16,1,,55c7a30dfdf99b546a55b6be,62c539e8d2b6fa4cee194348,2022-07-06_08h30.12.190,Colour_Asymmetry_Pilot,2022.1.3,Win32,145.7938475,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15,15,12,1,,55c7a30dfdf99b546a55b6be,62c539e8d2b6fa4cee194348,2022-07-06_08h30.12.190,Colour_Asymmetry_Pilot,2022.1.3,Win32,145.7938475,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,16,16,0,1,,55c7a30dfdf99b546a55b6be,62c539e8d2b6fa4cee194348,2022-07-06_08h30.12.190,Colour_Asymmetry_Pilot,2022.1.3,Win32,145.7938475,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,17,17,58,1,,55c7a30dfdf99b546a55b6be,62c539e8d2b6fa4cee194348,2022-07-06_08h30.12.190,Colour_Asymmetry_Pilot,2022.1.3,Win32,145.7938475,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,18,18,8,1,,55c7a30dfdf99b546a55b6be,62c539e8d2b6fa4cee194348,2022-07-06_08h30.12.190,Colour_Asymmetry_Pilot,2022.1.3,Win32,145.7938475,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19,19,41,1,,55c7a30dfdf99b546a55b6be,62c539e8d2b6fa4cee194348,2022-07-06_08h30.12.190,Colour_Asymmetry_Pilot,2022.1.3,Win32,145.7938475,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
