session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
62bbfb34a9e1a6964bc288eb,613c7f972e67021c3fe9fd40,AWAITING REVIEW,2022-06-29 07:11:48.170000,2022-06-29 07:55:40.023000,2631.853,30,108,0,100,,8F964E17,South Africa,South Africa,Part-Time,DATA EXPIRED,English,South Africa,Male,No
62bbfb34d74ddac5d85e4ce5,60f00422cb60d8be9b0e9590,AWAITING REVIEW,2022-06-29 07:11:48.658000,2022-06-29 07:44:21.416000,1952.758,20,95,0,100,,8F964E17,Poland,Poland,Part-Time,Polish,"Polish, English",Poland,Male,Yes
62bbfb36fb546d5885e76815,60e223997949aa8e7632763d,AWAITING REVIEW,2022-06-29 07:11:53.880000,2022-06-29 07:44:19.176000,1945.296,21,46,0,100,,8F964E17,South Africa,South Africa,Other,DATA EXPIRED,"Armenian, English",South Africa,Female,Yes
62bbfb3b6205431a697012bb,60d3511c0fbe657b15fc577e,AWAITING REVIEW,2022-06-29 07:11:55.867000,2022-06-29 08:12:11.843000,3615.976,38,95,3,99,,8F964E17,South Africa,South Africa,DATA EXPIRED,Afrikaans,"Afrikaans, English",South Africa,Female,No
62bbfb3c363f6d75635e4ce1,6141fe6b6586a0b4de9fbeca,AWAITING REVIEW,2022-06-29 07:12:05.766000,2022-06-29 07:45:32.249000,2006.483,28,79,0,100,,8F964E17,South Africa,South Africa,Full-Time,DATA EXPIRED,"Afrikaans, English",South Africa,Male,No
62bbfb3cd49be600f97778db,5cd7e678df739100011b1839,AWAITING REVIEW,2022-06-29 07:19:57.563000,2022-06-29 07:57:17.219000,2239.656,34,599,0,100,,8F964E17,Poland,Poland,Full-Time,DATA EXPIRED,"English, German, Polish",Poland,Male,DATA EXPIRED
62bbfb3df06d34a04fe3a75c,5e9774d2837b810ebe32666e,AWAITING REVIEW,2022-06-29 07:12:05.016000,2022-06-29 08:14:04.969000,3719.953,36,238,2,100,,8F964E17,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese, Spanish",Portugal,Male,No
62bbfb3e119f06643ccab67e,614d7ee6c5fa454c4a6d3fa3,AWAITING REVIEW,2022-06-29 07:12:00.901000,2022-06-29 07:43:23.427000,1882.526,26,82,2,99,,8F964E17,South Africa,South Africa,Full-Time,DATA EXPIRED,English,South Africa,Female,No
62bbfb43a391ce9d357778e2,5dee3c313ccb8a4cbe050a84,AWAITING REVIEW,2022-06-29 07:12:07.010000,2022-06-29 07:31:41.424000,1174.414,39,104,0,100,,8F964E17,Greece,Greece,Full-Time,Greek,"English, Greek",Greece,Male,No
62bbfb44571593a79b885091,5cfb9f6f288ca80001169952,AWAITING REVIEW,2022-06-29 07:12:06.655000,2022-06-29 08:05:08.402000,3181.747,31,371,6,97,,8F964E17,Poland,Poland,Full-Time,Polish,English,Poland,Male,No
62bbfb44edf162ffcb6a7dd8,5cd30b2041a6b8001874c41f,AWAITING REVIEW,2022-06-29 07:14:46.022000,2022-06-29 07:39:05.172000,1459.15,27,367,1,100,,8F964E17,Greece,Greece,Full-Time,Greek,"English, Greek",Greece,Female,No
62bbfb451170dba059d35553,5e92f375c570bc00080b2a79,RETURNED,2022-06-29 07:12:05.413000,,56178.300632,30,319,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
